category,rrio_status,address,district,lt_complaints,verified,unverified,unverified_pct,open,sha_flag,units,contact,reg_number
UNREGISTERED,NOT REGISTERED,1715 E OLIVE WAY,D3,6,5,1,16.7,0,,,,
UNREGISTERED,NOT REGISTERED,128 24TH AVE,D3,6,3,3,50.0,0,,,,
UNREGISTERED,NOT REGISTERED,1305 E MADISON ST,D3,6,0,4,66.7,2,,,,
UNREGISTERED,NOT REGISTERED,1521 BROADWAY,D3,6,0,6,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,1133 24TH AVE,D3,6,0,5,83.3,1,,,,
UNREGISTERED,NOT REGISTERED,1602 18TH AVE,D3,6,0,6,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,702 LAKESIDE AVE S,D3,6,1,5,83.3,0,,,,
UNREGISTERED,NOT REGISTERED,1816 BELLEVUE AVE,D3,6,0,6,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,3400 WALLINGFORD AVE N,D4,6,3,0,0.0,3,,,,
UNREGISTERED,NOT REGISTERED,5740 34TH AVE NE,D4,6,2,4,66.7,0,,,,
UNREGISTERED,NOT REGISTERED,4752 GREEN LAKE WAY N,D4,6,2,4,66.7,0,,,,
UNREGISTERED,NOT REGISTERED,6545 RAVENNA AVE NE,D4,6,0,6,100.0,0,YES,,,
UNREGISTERED,NOT REGISTERED,7336 57TH AVE NE,D4,6,2,4,66.7,0,,,,
UNREGISTERED,NOT REGISTERED,4725 25TH AVE NE,D4,6,0,6,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,3003 NE 88TH ST,D4,6,0,6,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,5120 NE 73RD ST,D4,6,1,5,83.3,0,,,,
UNREGISTERED,NOT REGISTERED,6548 50TH AVE NE,D4,6,2,4,66.7,0,,,,
UNREGISTERED,NOT REGISTERED,6956 57TH AVE NE,D4,6,2,4,66.7,0,,,,
UNREGISTERED,NOT REGISTERED,751 N 135TH ST,D5,6,0,5,83.3,1,,,,
UNREGISTERED,NOT REGISTERED,14036 GREENWOOD AVE N,D5,6,1,3,50.0,2,YES,,,
UNREGISTERED,NOT REGISTERED,9519 4TH AVE NW,D5,6,4,2,33.3,0,,,,
UNREGISTERED,NOT REGISTERED,2009 NE 102ND ST,D5,6,0,6,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,12345 36TH AVE NE,D5,6,0,5,83.3,1,,,,
UNREGISTERED,NOT REGISTERED,3025 NE 143RD ST,D5,6,2,4,66.7,0,,,,
UNREGISTERED,NOT REGISTERED,4556 NE 88TH PL,D5,6,2,4,66.7,0,,,,
UNREGISTERED,NOT REGISTERED,4500 LEARY WAY NW,D6,6,3,2,33.3,1,,,,
UNREGISTERED,NOT REGISTERED,2520 29TH AVE W,D6,6,1,5,83.3,0,,,,
UNREGISTERED,NOT REGISTERED,5007 2ND AVE NW,D6,6,1,5,83.3,0,,,,
UNREGISTERED,NOT REGISTERED,1422 NW 62ND ST,D6,6,1,5,83.3,0,,,,
UNREGISTERED,NOT REGISTERED,1753 NW 57TH ST,D6,6,0,5,83.3,1,,,,
UNREGISTERED,NOT REGISTERED,7013 GREENWOOD AVE N,D6,6,0,6,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,1000 VIRGINIA ST,D7,6,4,2,33.3,0,,,,
UNREGISTERED,NOT REGISTERED,580 GALER ST,D7,6,2,3,50.0,1,,,,
UNREGISTERED,NOT REGISTERED,100 ROY ST,D7,6,2,4,66.7,0,,,,
UNREGISTERED,NOT REGISTERED,810 HARRISON ST,D7,6,1,4,66.7,1,,,,
UNREGISTERED,NOT REGISTERED,2408 2ND AVE,D7,6,2,3,50.0,1,,,,
UNREGISTERED,NOT REGISTERED,620 GALER ST,D7,6,1,3,50.0,2,,,,
UNREGISTERED,NOT REGISTERED,2545 DEXTER AVE N,D7,6,3,3,50.0,0,,,,
UNREGISTERED,NOT REGISTERED,3652 13TH AVE W,D7,6,0,6,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,2656 42ND AVE SW,D1,5,3,2,40.0,0,,,,
UNREGISTERED,NOT REGISTERED,1956 1ST AVE S,D1,5,5,0,0.0,0,,,,
UNREGISTERED,NOT REGISTERED,3811 55TH AVE SW,D1,5,5,0,0.0,0,,,,
UNREGISTERED,NOT REGISTERED,4912 ERSKINE WAY SW,D1,5,2,2,40.0,1,,,,
UNREGISTERED,NOT REGISTERED,701 S CLOVERDALE ST,D1,5,4,1,20.0,0,,,,
UNREGISTERED,NOT REGISTERED,9701 MYERS WAY S,D1,5,0,5,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,4550 40TH AVE SW,D1,5,0,3,60.0,2,,,,
UNREGISTERED,NOT REGISTERED,520 S CLOVERDALE ST,D1,5,0,3,60.0,2,YES,,,
UNREGISTERED,NOT REGISTERED,520 OCCIDENTAL AVE S,D1,5,0,2,40.0,3,,,,
